base,variable,n,media,mediana,sd,min,max
W_raw_test,dollar_top1_12m,135,20.729,0,32.677,0,150
W_raw_test,dollar_top3_avg_12m,135,7.689,0,12.796,0,62.813
W_raw_test,dollar_top6_avg_12m,135,3.845,0,6.398,0,31.407
W_raw_test,products_top1_12m,135,0.511,0,0.854,0,6
W_raw_test,products_top3_avg_12m,135,0.198,0,0.367,0,2.667
W_raw_test,products_top6_avg_12m,135,0.099,0,0.184,0,1.333
W_raw_test,dollar_spring_avg_12m,135,2.252,0,7.942,0,62.813
W_raw_test,dollar_summer_avg_12m,135,2.862,0,7.947,0,46.65
W_raw_test,dollar_autumn_avg_12m,135,1.477,0,4.931,0,24.997
W_raw_test,dollar_winter_avg_12m,135,1.099,0,4.716,0,38.067
W_raw_test,products_spring_avg_12m,135,0.059,0,0.226,0,2
W_raw_test,products_summer_avg_12m,135,0.057,0,0.138,0,0.667
W_raw_test,products_autumn_avg_12m,135,0.037,0,0.12,0,0.667
W_raw_test,products_winter_avg_12m,135,0.044,0,0.19,0,1.667
W_raw_test,months_with_purchase_12m,135,0.467,0,0.656,0,3
W_raw_test,dollar_avg12_top1_ratio,135,0.036,0,0.046,0,0.178
W_raw_test,dollar_avg12_top3_ratio,135,0.098,0,0.123,0,0.25
W_raw_test,dollar_avg12_top6_ratio,135,0.196,0,0.245,0,0.5
W_raw_test,products_avg12_top1_ratio,135,0.037,0,0.051,0,0.25
W_raw_test,products_avg12_top3_ratio,135,0.098,0,0.123,0,0.25
W_raw_test,products_avg12_top6_ratio,135,0.196,0,0.245,0,0.5
Y_amount_train,amount_2023_Adidas,539,18.693,0,46.853,0,296.78
Y_amount_test,amount_2023_Adidas,135,15.127,0,43.082,0,246.21
